Cod_distrito,Nome_distrito,IDHM,IDHM_E,IDHM_L,IDHM_R
355030801,çGUA RASA,0.84,0.77,0.91,0.86
355030802,ALTO DE PINHEIROS,0.94,0.87,0.94,1
355030803,ANHANGUERA,0.72,0.68,0.8,0.68
355030804,ARICANDUVA,0.81,0.75,0.89,0.79
355030805,ARTUR ALVIM,0.8,0.76,0.89,0.77
355030806,BARRA FUNDA,0.93,0.88,0.93,0.97
355030807,BELA VISTA,0.91,0.86,0.93,0.95
355030808,BELƒM,0.83,0.76,0.91,0.84
355030809,BOM RETIRO,0.8,0.7,0.9,0.81
355030810,BRçS,0.8,0.71,0.89,0.8
355030811,BRASILåNDIA,0.71,0.64,0.82,0.69
355030812,BUTANTÌ,0.91,0.85,0.93,0.95
355030813,CACHOEIRINHA,0.78,0.73,0.87,0.75
355030814,CAMBUCI,0.87,0.79,0.92,0.91
355030815,CAMPO BELO,0.89,0.8,0.93,0.96
355030816,CAMPO GRANDE,0.87,0.81,0.91,0.88
355030817,CAMPO LIMPO,0.78,0.71,0.87,0.78
355030818,CANGAIBA,0.73,0.66,0.83,0.71
355030819,CAPÌO REDONDO,0.75,0.68,0.85,0.74
355030820,CARRÌO,0.84,0.78,0.9,0.83
355030821,CASA VERDE,0.84,0.77,0.91,0.84
355030822,CIDADE ADEMAR,0.77,0.69,0.86,0.77
355030823,CIDADE DUTRA,0.79,0.75,0.87,0.77
355030824,CIDADE LIDER,0.77,0.72,0.86,0.74
355030825,CIDADE TIRADENTES,0.7,0.65,0.79,0.66
355030826,CONSOLA‚ÌO,0.95,0.92,0.95,0.99
355030827,CURSINO,0.85,0.79,0.91,0.85
355030828,ERMELINO MATARAZZO,0.76,0.71,0.85,0.73
355030829,FREGUESIA DO î,0.82,0.76,0.9,0.8
355030830,GRAJAò,0.69,0.61,0.79,0.67
355030831,GUAIANASES,0.73,0.67,0.82,0.7
355030833,IGUATEMI,0.7,0.63,0.8,0.68
355030834,IPIRANGA,0.84,0.78,0.9,0.85
355030835,ITAIM BIBI,0.94,0.88,0.94,1
355030836,ITAIM PAULISTA,0.72,0.68,0.8,0.68
355030837,ITAQUERA,0.77,0.71,0.86,0.74
355030838,JABAQUARA,0.83,0.76,0.9,0.83
355030839,JA‚ANÌ,0.77,0.71,0.86,0.75
355030840,JAGUARA,0.81,0.76,0.9,0.79
355030841,JAGUARƒ,0.86,0.79,0.91,0.89
355030842,JARAGUç,0.75,0.7,0.84,0.72
355030843,JARDIM åNGELA,0.68,0.6,0.77,0.66
355030844,JARDIM HELENA,0.71,0.65,0.8,0.68
355030845,JARDIM PAULISTA,0.94,0.89,0.95,1
355030846,JARDIM SÌO LUêS,0.81,0.74,0.88,0.82
355030847,JOSƒ BONIFçCIO,0.73,0.69,0.82,0.69
355030896,LAJEADO,0.7,0.64,0.79,0.67
355030848,LAPA,0.91,0.85,0.93,0.95
355030849,LIBERDADE,0.88,0.81,0.92,0.92
355030850,LIMÌO,0.81,0.74,0.89,0.79
355030851,MANDAQUI,0.85,0.79,0.91,0.85
355030852,MARSILAC,0.65,0.57,0.75,0.65
355030832,MOEMA,0.94,0.88,0.95,1
355030853,MOOCA,0.89,0.82,0.92,0.92
355030854,MORUMBI,0.91,0.82,0.95,0.98
355030855,PARELHEIROS,0.69,0.62,0.78,0.67
