UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030801001,96.55,99.02,75.18,35.57,0.764,0.841,0.866,0.815,0.915,0.870
1355030801002,97.65,99.26,69.35,40.08,0.802,0.813,0.870,0.809,0.917,0.887
1355030801003,96.04,98.34,59.07,28.26,0.644,0.809,0.790,0.750,0.868,0.757
1355030801004,97.23,97.75,66.74,17.05,0.646,0.785,0.816,0.736,0.910,0.810
1355030801005,92.84,95.18,62.45,27.78,0.712,0.779,0.820,0.756,0.909,0.803
1355030801006,94.21,98.10,62.73,40.08,0.802,0.813,0.870,0.809,0.917,0.887
1355030801007,92.74,95.97,46.51,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801008,93.32,94.53,69.60,50.20,0.839,0.807,0.894,0.818,0.927,0.943
1355030801009,91.53,93.90,67.93,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801010,96.04,98.34,59.07,28.26,0.644,0.809,0.790,0.750,0.868,0.757
1355030801011,95.91,96.79,66.46,28.26,0.644,0.809,0.790,0.750,0.868,0.757
1355030801012,92.74,95.97,46.51,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801013,92.74,95.97,46.51,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801014,96.04,98.71,73.57,50.20,0.839,0.807,0.894,0.818,0.927,0.943
1355030801015,91.59,96.37,60.86,17.94,0.644,0.732,0.775,0.701,0.882,0.754
1355030801016,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030801017,89.05,91.58,42.84,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030801018,79.20,87.52,15.61,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030801019,92.26,96.52,52.70,17.94,0.644,0.732,0.775,0.701,0.882,0.754
1355030801020,85.30,90.53,21.04,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030801021,95.04,97.81,73.26,35.57,0.764,0.841,0.866,0.815,0.915,0.870
1355030801022,79.20,87.52,15.61,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030801023,92.84,95.18,62.45,27.78,0.712,0.779,0.820,0.756,0.909,0.803
1355030801024,93.32,94.53,69.60,50.20,0.839,0.807,0.894,0.818,0.927,0.943
1355030801025,93.32,94.53,69.60,50.20,0.839,0.807,0.894,0.818,0.927,0.943
1355030801026,96.04,98.34,59.07,28.26,0.644,0.809,0.790,0.750,0.868,0.757
1355030801027,96.59,98.01,63.40,17.94,0.644,0.732,0.775,0.701,0.882,0.754
1355030801028,91.59,96.37,60.86,17.94,0.644,0.732,0.775,0.701,0.882,0.754
1355030801029,97.22,98.43,77.54,27.78,0.712,0.779,0.820,0.756,0.909,0.803
1355030801030,92.74,95.97,46.51,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801031,92.84,95.18,62.45,27.78,0.712,0.779,0.820,0.756,0.909,0.803
1355030801032,96.04,98.34,59.07,28.26,0.644,0.809,0.790,0.750,0.868,0.757
1355030801033,92.74,95.97,46.51,26.65,0.709,0.822,0.834,0.782,0.910,0.814
1355030801034,88.55,93.20,33.29,4.95,0.472,0.678,0.683,0.601,0.792,0.668
1355030802001,97.49,99.37,87.18,43.72,0.874,0.812,0.927,0.832,0.957,1.000
1355030802002,95.36,96.70,72.35,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802003,96.86,99.29,80.69,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802004,98.63,98.87,80.61,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802005,96.95,97.85,80.37,43.33,0.854,0.904,0.925,0.887,0.931,0.959
1355030802006,96.65,98.00,75.33,35.80,0.746,0.751,0.833,0.749,0.914,0.845
1355030802007,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802008,97.17,98.65,79.99,54.57,0.906,0.827,0.918,0.853,0.933,0.972
1355030802009,93.93,96.69,62.99,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802010,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802011,94.00,95.77,58.11,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802012,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802013,87.53,92.08,37.23,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802014,92.52,95.99,42.99,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802015,95.24,96.40,58.62,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802016,86.93,91.07,29.68,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802017,87.53,92.08,37.23,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802018,79.20,87.52,15.61,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802019,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802020,86.38,90.48,44.43,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802021,87.46,91.50,25.61,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802022,88.55,92.14,27.27,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802023,97.17,98.65,79.99,54.57,0.906,0.827,0.918,0.853,0.933,0.972
1355030802024,94.44,95.97,64.35,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802025,96.89,96.85,80.79,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802026,96.95,97.85,80.37,43.33,0.854,0.904,0.925,0.887,0.931,0.959
1355030802027,98.63,98.87,80.61,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802028,96.81,97.65,78.39,54.71,0.829,0.858,0.895,0.848,0.923,0.915
1355030802029,97.35,97.33,72.93,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802030,96.96,98.15,66.80,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802031,98.63,98.87,80.61,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802032,97.49,99.37,87.18,43.72,0.874,0.812,0.927,0.832,0.957,1.000
1355030802033,84.97,90.91,29.77,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802034,96.86,99.29,80.69,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802035,97.37,98.88,64.79,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802036,97.17,98.65,79.99,54.57,0.906,0.827,0.918,0.853,0.933,0.972
1355030802037,92.48,94.24,60.96,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802038,96.86,99.29,80.69,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802039,96.86,99.29,80.69,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802040,99.23,99.67,82.15,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802041,87.53,92.08,37.23,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802042,93.93,96.69,62.99,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802043,96.12,99.86,61.55,35.80,0.746,0.751,0.833,0.749,0.914,0.845
1355030802044,94.44,95.97,64.35,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802045,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802046,96.95,97.85,80.37,43.33,0.854,0.904,0.925,0.887,0.931,0.959
1355030802047,92.52,95.99,42.99,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802048,98.63,98.87,80.61,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802049,95.52,97.40,71.78,35.80,0.746,0.751,0.833,0.749,0.914,0.845
1355030802050,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802051,94.44,95.97,64.35,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802052,98.10,98.20,70.95,35.80,0.746,0.751,0.833,0.749,0.914,0.845
1355030802053,93.93,96.69,62.99,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802054,96.95,97.85,80.37,43.33,0.854,0.904,0.925,0.887,0.931,0.959
1355030802055,94.00,95.77,58.11,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802056,96.70,98.31,76.03,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802057,94.00,95.77,58.11,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802058,92.29,95.45,61.94,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802059,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802060,93.93,96.69,62.99,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802061,92.92,95.95,47.54,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802062,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802063,93.93,96.69,62.99,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802064,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802065,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802066,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802067,93.15,94.00,69.01,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802068,95.52,97.40,71.78,35.80,0.746,0.751,0.833,0.749,0.914,0.845
1355030802069,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802070,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802071,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802072,93.91,96.71,51.09,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802073,94.65,97.88,67.51,56.87,0.903,0.907,0.947,0.906,0.938,1.000
1355030802074,94.21,98.10,62.73,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802075,92.52,95.99,42.99,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802076,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
