Cod_setor,Populacao
355030801000001,806
355030801000002,913
355030801000003,625
355030801000004,572
355030801000005,754
355030801000006,643
355030801000007,690
355030801000008,755
355030801000009,693
355030801000010,676
355030801000011,722
355030801000012,860
355030801000013,615
355030801000014,971
355030801000015,625
355030801000016,509
355030801000017,593
355030801000018,719
355030801000019,834
355030801000020,736
355030801000021,795
355030801000022,771
355030801000023,632
355030801000024,584
355030801000025,882
355030801000026,559
355030801000027,960
355030801000028,437
355030801000029,719
355030801000030,619
355030801000031,729
355030801000032,671
355030801000033,676
355030801000034,592
355030801000035,796
355030801000036,760
355030801000037,999
355030801000038,756
355030801000039,888
355030801000040,831
355030801000041,923
355030801000042,422
355030801000043,698
355030801000044,881
355030801000045,370
355030801000046,692
355030801000047,736
355030801000048,458
355030801000049,630
355030801000050,740
355030801000051,793
355030801000052,516
355030801000053,664
355030801000054,638
355030801000055,936
355030801000056,546
355030801000057,810
355030801000058,611
355030801000059,728
355030801000060,158
355030801000061,366
355030801000062,1327
355030801000063,351
355030801000064,436
355030801000065,619
355030801000066,467
355030801000067,623
355030801000068,833
355030801000069,642
355030801000070,832
355030801000071,1194
355030801000072,638
355030801000073,660
355030801000074,584
355030801000075,815
355030801000076,1107
355030801000077,631
355030801000078,459
355030801000079,451
355030801000080,955
355030801000081,956
355030801000082,1019
355030801000083,1207
355030801000084,409
355030801000085,568
355030801000086,753
355030801000087,925
355030801000088,587
355030801000089,386
355030801000090,469
355030801000091,505
355030801000092,529
355030801000093,468
355030801000094,676
355030801000095,728
355030801000096,440
355030801000097,339
355030801000098,651
355030801000099,487
355030801000100,653
355030801000101,731
355030801000102,651
355030801000103,416
355030801000104,812
355030801000105,169
355030801000106,545
355030801000107,336
355030801000108,659
355030801000109,530
355030801000110,709
355030801000111,788
355030801000112,433
355030801000113,588
355030801000114,365
355030801000115,205
355030801000116,392
355030801000117,476
355030801000118,450
355030801000119,837
355030801000120,819
355030801000121,869
355030801000122,735
355030801000123,296
355030801000124,274
355030801000125,504
355030801000126,846
355030801000127,538
355030801000128,527
355030801000129,261
355030801000130,540
355030802000001,519
355030802000002,469
355030802000003,638
355030802000004,510
355030802000005,795
355030802000006,649
355030802000007,641
355030802000008,885
355030802000009,580
355030802000010,750
355030802000011,813
355030802000012,392
355030802000013,835
355030802000014,369
355030802000015,428
355030802000016,367
355030802000017,798
355030802000018,963
355030802000019,721
355030802000020,533
355030802000021,477
355030802000022,584
355030802000023,624
355030802000024,438
355030802000025,597
355030802000026,619
355030802000027,683
355030802000028,394
355030802000029,510
355030802000030,308
355030802000031,798
355030802000033,254
355030802000034,431
355030802000035,516
355030802000036,676
355030802000037,881
355030802000038,516
355030802000039,404
355030802000040,229
355030802000041,470
355030802000042,592
355030802000043,909
355030802000044,550
355030802000045,570
355030802000046,302
355030802000047,790
355030802000048,534
355030802000049,435
355030802000050,586
355030802000051,738
355030802000052,404
355030802000053,272
355030802000054,602
355030802000055,657
355030802000056,639
355030802000057,591
355030802000058,823
355030802000059,551
355030802000060,572
355030802000061,609
355030802000062,586
355030802000063,307
355030802000064,815
355030802000065,519
355030802000066,441
355030802000067,505
355030802000068,678
355030802000069,215
355030802000070,392
355030802000071,291
355030802000072,584
355030802000073,454
355030802000074,544
355030802000075,590
355030802000076,548
355030802000077,314
355030802000078,306
355030802000079,238
355030803000001,868
355030803000002,825
355030803000003,790
355030803000004,717
355030803000005,2018
355030803000006,809
355030803000007,1924
355030803000008,1004
355030803000009,1011
355030803000010,1476
355030803000011,1593
355030803000012,965
355030803000013,801
355030803000014,820
355030803000015,746
355030803000016,577
355030803000017,1151
355030803000018,1060
355030803000019,129
355030803000020,557
355030803000021,695
355030803000022,559
355030803000023,607
355030803000024,1021
355030803000025,994
355030803000026,953
355030803000027,97
355030803000028,550
355030803000029,241
355030803000030,1588
355030803000031,732
355030803000032,1137
355030803000033,1013
355030803000034,12
355030803000035,824
355030803000036,1696
355030803000037,1050
355030803000038,1407
355030803000039,968
355030803000040,1030
355030803000041,967
355030803000042,510
355030803000043,15
355030803000044,5
355030803000045,58
355030803000046,119
355030803000047,306
355030803000048,397
355030803000049,32
355030803000050,46
355030803000051,281
355030803000052,463
355030803000053,586
355030803000054,799
355030803000055,1993
355030803000056,142
355030803000057,908
