Cod_distrito,Nome_distrito,Pop_1991,Pop_2000,Pop_2010,Pop_2020,Tx_cresc80/91,Tx_cresc91/2000,Tx_cresc2000/10,Tx_cresc2010/20,Pop/ha_1991,Pop/ha_2000,Pop/ha_2010
355030801,çGUA RASA,95099,85896,84963,80618,-1.52,-1.12,-0.11,-0.52,137.82,124.49,123.13
355030802,ALTO DE PINHEIROS,50351,44454,43117,40117,-0.15,-1.37,-0.3,-0.72,65.39,57.73,56
355030803,ANHANGUERA,12408,38427,65859,108277,7.95,13.38,5.54,5.1,3.73,11.54,19.78
355030804,ARICANDUVA,96512,94813,89622,81265,0.36,-0.2,-0.56,-0.97,146.23,143.66,135.79
355030805,ARTUR ALVIM,118531,111210,105269,95587,0.92,-0.71,-0.55,-0.96,179.59,168.5,159.5
355030806,BARRA FUNDA,15977,12965,14383,15306,-1.02,-2.29,1.04,0.62,28.53,23.15,25.68
355030807,BELA VISTA,71825,63190,69460,73243,-1.56,-1.41,0.95,0.53,276.25,243.04,267.15
355030808,BELƒM,49697,39622,45057,49151,-1.27,-2.49,1.29,0.87,82.83,66.04,75.1
355030809,BOM RETIRO,36136,26598,33892,41428,-2.47,-3.35,2.45,2.03,90.34,66.5,84.73
355030810,BRçS,33536,25158,29265,32656,-1.28,-3.14,1.52,1.1,95.82,71.88,83.61
355030811,BRASILåNDIA,201591,247328,264918,272203,1.76,2.3,0.69,0.27,96,117.78,126.15
355030812,BUTANTÌ,58019,52649,54196,53517,0.17,-1.07,0.29,-0.13,46.42,42.12,43.36
355030813,CACHOEIRINHA,125852,147649,143523,133831,1.6,1.79,-0.28,-0.7,94.63,111.01,107.91
355030814,CAMBUCI,37069,28717,36948,45602,-1.72,-2.8,2.55,2.13,95.05,73.63,94.74
355030815,CAMPO BELO,77952,66646,65752,62228,0.28,-1.73,-0.13,-0.55,88.58,75.73,74.72
355030816,CAMPO GRANDE,82052,91373,100713,106487,1.39,1.2,0.98,0.56,62.64,69.75,76.88
355030817,CAMPO LIMPO,159471,191527,211361,223750,3.39,2.06,0.99,0.57,124.59,149.63,165.13
355030818,CANGAIBA,115070,137442,136623,130278,1.49,1.99,-0.06,-0.47,71.92,85.9,85.39
355030819,CAPÌO REDONDO,193497,240793,268729,287693,3.81,2.46,1.1,0.68,142.28,177.05,197.59
355030820,CARRÌO,87336,78175,83281,85107,-1.15,-1.22,0.63,0.22,116.45,104.23,111.04
355030821,CASA VERDE,96396,83629,85624,84096,-0.64,-1.57,0.24,-0.18,135.77,117.79,120.6
355030822,CIDADE ADEMAR,230794,243372,266681,280322,0.45,0.59,0.92,0.5,192.33,202.81,222.23
355030823,CIDADE DUTRA,168821,191389,196360,193256,2.92,1.4,0.26,-0.16,57.62,65.32,67.02
355030824,CIDADE LIDER,97370,116841,126597,131582,2.98,2.05,0.81,0.39,95.46,114.55,124.11
355030825,CIDADE TIRADENTES,96281,190657,211501,225069,24.55,7.89,1.04,0.62,64.19,127.1,141
